ogc_fid,GEOMETRY,full_id,osm_id,osm_type,amenity,contact:line,contact:instagram,opening_hours:covid19,internet_access:ssid,addr:street:en,tents,camping,payment:electronic_purses,payment:debit_cards,payment:credit_cards,diet:gluten_free,drink:juice,coffee,description:fr,lanes,internet_access:type,name:vi,name:es,organic,toilets,payment:cash,currency:thb,addr:state,addr:country,name:ru,wlan,name:uk,name:de,description:en,addr:subdistrict,addr:province,entrance,diet:vegetarian,source:opening_hours,source:name,drive_through,drink:tea,name:fr,toilets:wheelchair,contact:website,name:alt,microroasting,facebook,drink:filter_coffee,drink:espresso,addr:city:source,source:amenity,name:ja,brand:th,brand:en,diet:vegan,level,alt_name,tourism,email,contact:phone,contact:facebook,addr:postcode,addr:city,operator,alt_name:en,wifi:password,wifi,addr:street,description,shop,smoking,outdoor_seating,internet_access:fee,air_conditioning,addr:housenumber,phone,breakfast,internet_access,name:zh,opening_hours,wheelchair,website,takeaway,official_name,name:th,name:en,name,cuisine,brand:wikipedia,brand:wikidata,brand,lat,long
2,,n336237972,336237972,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,http://www.starbucks.com/,yes,Starbucks Coffee,สตาร์บัคส์,Starbucks Coffee,Starbucks,coffee_shop,en:Starbucks,Q37158,Starbucks,18.78802,98.99366
3,,n822570109,822570109,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-23:00,,,,,,,Pordee,,,,,18.78436,98.99647
4,,n907784572,907784572,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.swensens1112.com/,,,,,Swensen's,ice_cream,,,,18.74305,98.96222
5,,n907784576,907784576,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黑峡谷咖啡,,,,,,,,Black Canyon Coffee,,,,,18.7431,98.9619
6,,n955952427,955952427,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hungry Crust,,,,,18.78374,99.0163
7,,n1006843145,1006843145,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,水果鬆餅,Mo-Su 07:00-20:00,,,,,,,Cafe de Thaan Aoan,breakfast;cake;coffee_shop;local,,,,18.78547,98.98848
8,,n1014351915,1014351915,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friendly Coffee,,,,,18.80727,98.9709
9,,n1058639339,1058639339,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country Home,,,,,18.6684,98.9137
10,,n1074594027,1074594027,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,limited,,,,,,Ember,,,,,18.79836,98.96667
11,,n1074595752,1074595752,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6653210776,,wlan,,Mo-Su 08:30-21:30,,,,,,,Mont Blanc,coffee_shop;sandwich,,,,18.79818,98.96686
